角色票力排行榜 男子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
134: [ 2015-11-21 | 08 | 12348 ] 桥田至(桶子) - 命运石之门 聪明睿智的认知计算
135: [ 2015-11-14 | 04 | 12321 ] 阿明·阿诺德 - 进击的巨人剧场版
136: [ 2015-11-08 | 03 | 12256 ] 千手柱间 - 火影忍者 疾风传
137: [ 2015-11-18 | 04 | 12251 ] 亚门钢太朗 - 东京食尸鬼 第二季
138: [ 2015-11-19 | 04 | 12122 ] 十束多多良 - K MISSING KINGS
139: [ 2015-11-09 | 02 | 12078 ] 布鲁克 - 海贼王
140: [ 2015-11-20 | 04 | 12066 ] 迪奥·布兰度 - JOJO的奇妙冒险 星尘斗士 埃及篇
141: [ 2015-12-05 | 05 | 11979 ] 橘真琴 - Free! TV未放送
142: [ 2015-11-14 | 05 | 11883 ] 龟仙人 - 龙珠·超
143: [ 2015-12-01 | 04 | 11624 ] 大路饼藏 - 玉子市场 剧场版
144: [ 2015-11-07 | 07 | 11609 ] 东城刃更 - 新妹魔王的契约者
145: [ 2015-11-17 | 03 | 11547 ] 小夫 - 哆啦A梦
146: [ 2015-11-01 | 03 | 11518 ] 草薙出云 - K MISSING KINGS
147: [ 2015-11-02 | 06 | 11449 ] 乌间惟臣 - 暗杀教室
148: [ 2015-11-07 | 08 | 11316 ] 花轮和彦 - 樱桃小丸子 第二季
149: [ 2015-11-14 | 06 | 11080 ] 李洛克 - 火影忍者 疾风传
150: [ 2015-11-11 | 04 | 10942 ] 柳洞一成 - Fate/stay night [UBW]
151: [ 2015-11-17 | 04 | 10938 ] 乔瑟夫·乔斯达 - JOJO的奇妙冒险 星尘斗士 埃及篇
152: [ 2015-11-07 | 09 | 10932 ] 空木莲华 - 噬神者
153: [ 2015-11-06 | 04 | 10800 ] 山崎退 - 银魂°
154: [ 2015-11-28 | 05 | 10780 ] 青峰大辉 - 黑子的篮球 第三季
155: [ 2015-11-30 | 05 | 10722 ] 萨博 - 海贼王
156: [ 2015-11-20 | 05 | 10604 ] 城惠 - 记录的地平线 第二季
157: [ 2015-12-04 | 06 | 10555 ] 贝尔·克朗尼 - 在地下城寻求邂逅是否搞错了什么
158: [ 2015-11-05 | 03 | 10528 ] 百夜优一郎 - 终结的炽天使
159: [ 2015-11-08 | 04 | 10491 ] 渡亮太 - 四月是你的谎言
160: [ 2015-11-07 | 10 | 10311 ] 吉尔桑达 - 七大罪
161: [ 2015-11-22 | 06 | 10282 ] 威廉·马克贝斯 - 血界战线
162: [ 2015-11-10 | 04 | 10279 ] 本场猛(崩巴) - 干物妹小埋
163: [ 2015-11-05 | 04 | 10227 ] 弗兰奇 - 海贼王
164: [ 2015-11-22 | 07 | 10164 ] 野原广志 - 蜡笔小新2014剧场版
165: [ 2015-11-05 | 05 | 10136 ] 菊丸英二 - 新网球王子OVA vs Genius10
166: [ 2015-11-03 | 05 | 10026 ] 大雄的爸爸 - 哆啦A梦
167: [ 2015-11-21 | 09 | 09939 ] 高城丈士朗 - 夏洛特
168: [ 2015-11-18 | 05 | 09931 ] 雾岛绚都 - 东京食尸鬼 第二季
169: [ 2015-11-13 | 04 | 09887 ] 格雷·佛尔帕斯塔 - 妖精的尾巴 第二季
170: [ 2015-11-20 | 06 | 09881 ] 月山习 - 东京食尸鬼 第二季
171: [ 2015-11-14 | 07 | 09844 ] 坂本辰马 - 银魂°
172: [ 2015-11-28 | 06 | 09834 ] 阿笠博士 - 名侦探柯南
173: [ 2015-11-30 | 06 | 09757 ] 赤井秀一 - 名侦探柯南
174: [ 2015-11-19 | 05 | 09745 ] 亚瑟·柯克兰(英/国) - 黑塔利亚 第六季
175: [ 2015-10-31 | 04 | 09725 ] 班 - 七大罪
176: [ 2015-11-29 | 05 | 09692 ] 本田菊(日/本) - 黑塔利亚 第六季
177: [ 2015-11-24 | 04 | 09645 ] 特兰克斯 - 龙珠改 魔人布欧篇
178: [ 2015-11-18 | 06 | 09642 ] 处女座沙加 - 圣斗士星矢 黄金魂
179: [ 2015-11-09 | 03 | 09640 ] 御芍神紫 - K MISSING KINGS
180: [ 2015-11-13 | 05 | 09391 ] 费里西安诺·瓦尔加斯(意/大/利) - 黑塔利亚 第六季
181: [ 2015-11-29 | 06 | 09387 ] 乙坂隼翼 - 夏洛特
