每日晋级数据 TOP8
2015-12-05 晋级数据 TOP8 女子组 (总票数: 129943)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 03 | 17666 | 14.6% ] 梦梦·贝莉雅·戴比路克 - ToLoveRu Darkness 2nd
[ 04 | 17642 | 14.6% ] 由依 - Angel Beats OVA
[ 05 | 13974 | 11.6% ] 北白川玉子 - 玉子市场 剧场版
[ 06 | 10861 |  9.0% ] 柳生九兵卫 - 银魂°
[ 07 | 07395 |  6.1% ] 温蒂·玛贝尔 - 妖精的尾巴 第二季
[ 08 | 06241 |  5.2% ] 泽部椿 - 四月是你的谎言

2015-11-26 晋级数据 TOP8 男子组 (总票数: 116421)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 29651 | 25.5% ] 野崎梅太郎 - 月刊少女野崎君OVA
[ 02 | 26576 | 22.8% ] 艾伦·耶格尔 - 进击的巨人剧场版
[ 03 | 17339 | 14.9% ] 手冢国光 - 新网球王子OVA vs Genius10
[ 04 | 15218 | 13.1% ] 塔兹米 - 斩·赤红之瞳
[ 05 | 13945 | 12.0% ] 目暮十三 - 名侦探柯南
[ 06 | 05645 |  4.8% ] 世修 - 哆啦A梦
[ 07 | 04172 |  3.6% ] 迪米乌哥斯 - OVERLORD
[ 08 | 03875 |  3.3% ] 乾贞治 - 新网球王子OVA vs Genius10

2015-11-25 晋级数据 TOP8 女子组 (总票数: 154896)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 37266 | 24.1% ] 白 - 游戏人生OVA
[ 02 | 32822 | 21.2% ] 神乐 - 银魂°
[ 03 | 29566 | 19.1% ] 高坂穗乃果 - Love Live! The School Idol Movie
[ 04 | 25834 | 16.7% ] 宫内莲华 - 悠哉日常大王 第二季
[ 05 | 09283 |  6.0% ] 堀江由衣 - 那就是声优
[ 06 | 07384 |  4.8% ] 芙蕾米·斯皮德龙 - 六花的勇者
[ 07 | 06866 |  4.4% ] 船见结衣 - 摇曳百合OVA
[ 08 | 05875 |  3.8% ] 朝仓凉子 - 小长门有希的消失

2015-11-25 晋级数据 TOP8 男子组 (总票数: 156156)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 38150 | 24.4% ] 卫宫切嗣 - Fate/stay night [UBW]
[ 02 | 24521 | 15.7% ] 罗罗诺亚·索隆 - 海贼王
[ 03 | 21491 | 13.8% ] 越前龙马 - 新网球王子OVA vs Genius10
[ 04 | 19774 | 12.7% ] 阿虚 - 小长门有希的消失
[ 05 | 18360 | 11.8% ] 伏见猿比古 - K MISSING KINGS
[ 06 | 16952 | 10.9% ] 八田美咲 - K MISSING KINGS
[ 07 | 08728 |  5.6% ] 神乐(♂) - 银魂°
[ 08 | 08180 |  5.2% ] 大木博士 - 宠物小精灵XY

2015-11-24 晋级数据 TOP8 女子组 (总票数: 122497)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 32347 | 26.4% ] 矢泽妮可 - Love Live! The School Idol Movie
[ 02 | 21881 | 17.9% ] 栉名安娜 - K MISSING KINGS
[ 03 | 16989 | 13.9% ] 赤座灯里 - 摇曳百合OVA
[ 04 | 14563 | 11.9% ] 结城美柑 - ToLoveRu Darkness 2nd
[ 05 | 11341 |  9.3% ] 源静香 - 哆啦A梦
[ 06 | 08854 |  7.2% ] 安原绘麻 - 白箱
[ 07 | 08590 |  7.0% ] 忍野扇 - 凭物语
[ 08 | 07932 |  6.5% ] 伊丽莎白·里昂妮丝 - 七大罪

2015-11-24 晋级数据 TOP8 男子组 (总票数: 106710)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 35231 | 33.0% ] 吉尔伽美什 - Fate/stay night [UBW]
[ 02 | 17685 | 16.6% ] 葛木宗一郎 - Fate/stay night [UBW]
[ 03 | 15935 | 14.9% ] 一色慧 - 食戟之灵
[ 04 | 09645 |  9.0% ] 特兰克斯 - 龙珠改 魔人布欧篇
[ 05 | 08944 |  8.4% ] 布兰德 - 斩·赤红之瞳
[ 06 | 07518 |  7.0% ] 日向翔阳 - 排球少年剧场版
[ 07 | 05985 |  5.6% ] 高尾和成 - 黑子的篮球 第三季
[ 08 | 05767 |  5.4% ] 泷升 - 吹响！上低音号

2015-11-23 晋级数据 TOP8 女子组 (总票数: 79989)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 26490 | 33.1% ] 长门有希 - 小长门有希的消失
[ 02 | 11694 | 14.6% ] 藤村大河 - Fate/stay night [UBW]
[ 03 | 11071 | 13.8% ] 鸫诚士郎 - 伪恋 第二季
[ 04 | 07565 |  9.5% ] 村野里美 - 寄生兽 生命的准则
[ 05 | 07544 |  9.4% ] 塔城小猫 - 高校龙中龙D×D BorN
[ 06 | 06199 |  7.7% ] 矢野艾莉卡 - 白箱
[ 07 | 05007 |  6.3% ] 鹤屋学姐 - 小长门有希的消失
