惨遭淘汰排行榜 女子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
213: [ 2015-11-23 | 13 | 03364 ] 阿列克斯·加西亚 - 黑子的篮球 第三季
214: [ 2015-11-14 | 10 | 03353 ] 莎罗曼 - 甘城光辉游乐园
215: [ 2015-12-05 | 15 | 03337 ] 片冈优希 - 咲日和
216: [ 2015-11-12 | 14 | 03332 ] 相田丽子 - 黑子的篮球 第三季
217: [ 2015-11-15 | 15 | 03329 ] 樱田妮妮 - 蜡笔小新2014剧场版
218: [ 2015-11-18 | 14 | 03314 ] 朵艾儿 - 我要成为双马尾
219: [ 2015-12-02 | 11 | 03307 ] 嘉依卡·布芙丹 - 棺姬嘉依卡 第二季
220: [ 2015-12-05 | 16 | 03293 ] 帕比 - 魔物娘相伴的日常
221: [ 2015-11-14 | 11 | 03285 ] 大宫忍 - 黄金拼图 第二季
222: [ 2015-11-03 | 11 | 03280 ] 矢田桃花 - 暗杀教室
223: [ 2015-10-31 | 11 | 03275 ] 法兰吉丝 - 亚尔斯兰战记
224: [ 2015-11-22 | 12 | 03274 ] 加贺山枫 - 悠哉日常大王 第二季
225: [ 2015-12-03 | 12 | 03268 ] 萝莉·麦丘利 - GATE奇幻自卫队
226: [ 2015-11-25 | 12 | 03221 ] 出岛沙耶香 - 妄想学生会OVA
227: [ 2015-11-12 | 15 | 03214 ] 松岛满 - 灰色的果实
228: [ 2015-12-02 | 12 | 03188 ] 田中 - 关于完全听不懂老公在说什么的事
229: [ 2015-11-22 | 13 | 03188 ] 苏 - 魔物娘相伴的日常
230: [ 2015-11-07 | 17 | 03177 ] 孙策伯符 - 一骑当千 Extravaganza Epoch
231: [ 2015-11-26 | 11 | 03144 ] 矢雾波江 - 无头骑士异闻录×2 承
232: [ 2015-11-26 | 12 | 03138 ] 凰铃音 - IS2 OVA 世界清洗篇
233: [ 2015-11-06 | 12 | 03131 ] 古宫乃乃香 - 天体的秩序
234: [ 2015-11-21 | 09 | 03114 ] 一宫惠瑠奈 - 御神乐学园组曲
235: [ 2015-11-04 | 14 | 03100 ] 筱之之箒 - IS2 OVA 世界清洗篇
236: [ 2015-11-29 | 14 | 03090 ] 横山杏子 - 监狱学园
237: [ 2015-11-11 | 12 | 03088 ] 成濑澪 - 新妹魔王的契约者
238: [ 2015-11-02 | 11 | 03087 ] 希莉奴 - ToLoveRu Darkness 2nd
239: [ 2015-12-02 | 13 | 03020 ] 神原弥生 - 境界的彼方 剧场版
240: [ 2015-11-10 | 14 | 03018 ] 希儿·福罗瓦 - 在地下城寻求邂逅是否搞错了什么
241: [ 2015-11-10 | 15 | 03001 ] 蕾昂米修莉·加雷特·德·罗瓦 - DOG DAYS 第三季
242: [ 2015-11-03 | 12 | 02985 ] 莉莉露卡·厄德 - 在地下城寻求邂逅是否搞错了什么
243: [ 2015-11-19 | 13 | 02963 ] 小桥若叶 - 若叶女孩
244: [ 2015-11-10 | 16 | 02961 ] 柳德米拉·劳里 - 魔弹之王与战姬
245: [ 2015-11-24 | 14 | 02958 ] 娜榭塔妮亚 - 六花的勇者
246: [ 2015-11-05 | 12 | 02935 ] 莉莉丝·布里斯托 - 绝对双刃
247: [ 2015-11-30 | 12 | 02927 ] 蕾比·马库嘎登 - 妖精的尾巴 第二季
248: [ 2015-11-29 | 15 | 02918 ] 艾蜜莉亚 - 无头骑士异闻录×2 承
249: [ 2015-11-01 | 11 | 02907 ] 天海春香 - 偶像大师剧场版
250: [ 2015-11-23 | 14 | 02900 ] 拉克涅拉 - 魔物娘相伴的日常
251: [ 2015-11-10 | 17 | 02899 ] 铃木佳奈 - 大图书馆的牧羊人
252: [ 2015-12-01 | 13 | 02890 ] 白木芽衣子 - 监狱学园
253: [ 2015-12-05 | 17 | 02880 ] 水濑伊织 - 偶像大师剧场版
254: [ 2015-10-31 | 12 | 02872 ] 大和凛子 - 俺物语
255: [ 2015-11-15 | 16 | 02858 ] 走鳰 - 恶魔之谜 TV未放送
256: [ 2015-11-29 | 16 | 02837 ] 君莎 - 宠物小精灵XY
257: [ 2015-11-30 | 13 | 02836 ] 坂井和奏 - TARI TARI OVA
258: [ 2015-11-27 | 13 | 02836 ] 布尔玛 - 龙珠·超
259: [ 2015-11-23 | 15 | 02815 ] 祠堂圭 - 学园孤岛
260: [ 2015-11-27 | 14 | 02807 ] 峰不二子 - 鲁邦三世剧场版 次元大介的墓碑
261: [ 2015-11-02 | 12 | 02805 ] 僵尸娜 - 魔物娘相伴的日常
262: [ 2015-11-16 | 12 | 02804 ] 雾岛 - 苍蓝钢铁的琶音DC
263: [ 2015-10-31 | 13 | 02791 ] 雪见时雨 - 终结的炽天使
264: [ 2015-11-04 | 15 | 02782 ] 足须沙穗都 - 漫画家与助手们OVA
265: [ 2015-11-05 | 13 | 02779 ] 小泉红子 - 魔术快斗1412
266: [ 2015-11-22 | 14 | 02779 ] 神堂慧理那(黄马尾) - 我要成为双马尾
267: [ 2015-11-18 | 15 | 02766 ] 津边爱香(蓝马尾) - 我要成为双马尾
268: [ 2015-10-31 | 14 | 02765 ] 一之濑晴 - 恶魔之谜 TV未放送
269: [ 2015-11-14 | 12 | 02705 ] 星宫凯特 - 世界征服谋略之星OVA
270: [ 2015-12-02 | 14 | 02700 ] 村崎和歌子 - 和歌子酒
271: [ 2015-11-19 | 14 | 02688 ] 如月千早 - 偶像大师剧场版
272: [ 2015-11-30 | 14 | 02654 ] 东乡美森 - 结城友奈是勇者
273: [ 2015-11-08 | 10 | 02651 ] 雪音克莉丝 - 战姬绝唱GX
274: [ 2015-11-30 | 15 | 02647 ] 宫本来夏 - TARI TARI OVA
275: [ 2015-11-08 | 11 | 02641 ] 实莉 - 记录的地平线 第二季
276: [ 2015-11-29 | 17 | 02635 ] 冈野日向 - 暗杀教室
277: [ 2015-11-04 | 16 | 02625 ] 艾茵哈特·斯崔特斯 - 魔法少女奈叶ViVid
278: [ 2015-11-21 | 10 | 02604 ] 白崎纱依 - 大图书馆的牧羊人
279: [ 2015-11-21 | 11 | 02598 ] 泷川诺亚 - 山田君与七个魔女
280: [ 2015-11-27 | 15 | 02589 ] 伦·艾尔西·裘利亚 - ToLoveRu Darkness 2nd
281: [ 2015-11-28 | 15 | 02585 ] 一子 - 鬼灯的冷彻OAD
282: [ 2015-11-16 | 13 | 02584 ] 萩原雪步 - 偶像大师剧场版
283: [ 2015-11-28 | 16 | 02568 ] 爱野美奈子 - 美少女战士Crystal
284: [ 2015-11-29 | 18 | 02560 ] 片冈惠 - 暗杀教室
285: [ 2015-12-02 | 15 | 02543 ] 花依小百合 - 终结的炽天使
286: [ 2015-11-20 | 16 | 02542 ] 月见璃兔 - 绝对双刃
287: [ 2015-11-08 | 12 | 02535 ] 霞 - 我家浴缸的二三事
288: [ 2015-11-01 | 12 | 02526 ] 仓濑真由美 - 食戟之灵
289: [ 2015-11-17 | 17 | 02519 ] 伊莉丝·弗蕾亚 - 铳皇无尽的法夫纳
290: [ 2015-11-28 | 17 | 02517 ] 白石凉子 - 那就是声优
291: [ 2015-11-19 | 15 | 02505 ] 小岭幸 - 灰色的果实
292: [ 2015-12-03 | 13 | 02500 ] 偏执王亚莉基菈 - 血界战线
293: [ 2015-11-02 | 13 | 02495 ] 索菲娅·奥塔斯 - 魔弹之王与战姬
294: [ 2015-12-01 | 14 | 02493 ] 井川绘见 - 四月是你的谎言
295: [ 2015-12-03 | 14 | 02493 ] 涅墨西斯 - ToLoveRu Darkness 2nd
296: [ 2015-10-31 | 15 | 02481 ] 横岛鸣子 - 妄想学生会OVA
297: [ 2015-11-03 | 13 | 02480 ] 龙门渕透华 - 咲日和
298: [ 2015-11-19 | 16 | 02479 ] 朝雾史织 - 玉子市场 剧场版
299: [ 2015-11-06 | 13 | 02478 ] 科户濑伊札那 - 希德尼娅的骑士 第二季
300: [ 2015-11-05 | 14 | 02474 ] 星井美希 - 偶像大师剧场版
301: [ 2015-11-29 | 19 | 02463 ] 时田萌子 - 若叶女孩
302: [ 2015-11-14 | 13 | 02458 ] 艾莉丝·法兰格尔托 - 精灵使的剑舞OVA
303: [ 2015-11-27 | 16 | 02457 ] 三宫三叶 - 终结的炽天使
304: [ 2015-11-15 | 17 | 02447 ] 樱田茜 - 城下町的蒲公英
305: [ 2015-11-10 | 18 | 02447 ] 洛丝维亚瑟 - 高校龙中龙D×D BorN
306: [ 2015-11-01 | 13 | 02439 ] 川岛绿辉 - 吹响！上低音号
307: [ 2015-11-11 | 13 | 02433 ] 美洛 - 魔物娘相伴的日常
308: [ 2015-12-02 | 16 | 02422 ] 空 - 七人魔法使
309: [ 2015-12-03 | 15 | 02411 ] 小田切宁宁 - 山田君与七个魔女
